iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6
73	0.8962130612	0.210073125	0.690567394	0.9986948302	0.9219445005	0.9986843119	0.9163735922	0.7441087902	0.9967917545
74	0.8962130612	0.209501301	0.6906120365	0.9986991085	0.9219445005	0.9986900124	0.9163986707	0.744050296	0.9967874963
75	0.8962346939	0.2086615816	0.6907582042	0.9986848475	0.9219457666	0.9986885873	0.9163986707	0.7440830323	0.9967874963
76	0.8962616327	0.2082596684	0.690665998	0.9986934264	0.9219445005	0.9986900124	0.9164067411	0.7442830276	0.9967874963
77	0.8968269388	0.2073097449	0.6921071149	0.9987133957	0.9219419684	0.9986172768	0.9163938284	0.7461593548	0.9975090773
78	0.8971232653	0.206696773	0.6955175464	0.9987447717	0.9219533632	0.998889574	0.916408226	0.7453299822	0.9975119203
79	0.8972142857	0.2059688648	0.696449643	0.9987376406	0.9219660244	0.998889574	0.9164130683	0.7451154003	0.997662619
80	0.8973971429	0.205344324	0.6969138422	0.9987519028	0.9219647583	0.9989408987	0.9164232506	0.7458234629	0.997662619
81	0.8975440816	0.2051117985	0.6976206166	0.9987519028	0.9219647583	0.9989437504	0.9164232506	0.7461946119	0.997662619
82	0.8976216327	0.2045750893	0.6973550699	0.9987519028	0.9219634921	0.9989138083	0.9164275947	0.7468536729	0.9976668847
83	0.8978057143	0.2041343622	0.6980284279	0.9987989746	0.9219634921	0.9989152341	0.9164275947	0.7474456817	0.9976583533
84	0.8978457143	0.2038691199	0.6981777462	0.9987989746	0.9219662387	0.9989152341	0.9164275947	0.7475571875	0.9976853699
85	0.897944898	0.2037133546	0.6986500682	0.9987989746	0.9219662387	0.9989152341	0.9164275947	0.7478107821	0.9976882139
86	0.8980669388	0.2032449107	0.6989300763	0.9987932692	0.921975959	0.9989195115	0.9164275947	0.7482292727	0.9978588799
87	0.8982428571	0.2029850893	0.6990875649	0.9988161455	0.922525601	0.9989195115	0.9173225888	0.7479399808	0.9978517677
88	0.8981465306	0.2021902934	0.6960999806	0.9988147192	0.9225325859	0.998926665	0.9173483436	0.7492569177	0.9980651794
89	0.8982004082	0.2017170281	0.6961180925	0.9988075875	0.9225287786	0.998932362	0.9173499532	0.7496076317	0.9979869178
90	0.8983959184	0.2012353954	0.6970546674	0.9987904717	0.9225311037	0.9989252116	0.9173499532	0.7500849047	0.9980509491
91	0.8984363265	0.2009032781	0.6972019107	0.9988104469	0.9225311037	0.9989209311	0.9173499532	0.7502269548	0.9980253356
92	0.8985171429	0.2005059056	0.6972891233	0.9987976032	0.9225588299	0.9989309179	0.9173499532	0.7506001684	0.9980481031
93	0.8985036735	0.2000893495	0.6975136987	0.998870405	0.9225550226	0.9989865251	0.9173513171	0.7503988856	0.9978773723
94	0.8988310204	0.1997195791	0.6993255393	0.9988475298	0.9225562917	0.9989922377	0.9173472255	0.7510906973	0.9978787948
95	0.89916	0.1995727806	0.7009786314	0.9988475298	0.9225414696	0.9989922377	0.9173472255	0.7519065671	0.9978645698
96	0.8991681633	0.1990759694	0.7013539853	0.9988903757	0.9225526787	0.9989908059	0.9173513171	0.7516583302	0.9978645698
97	0.8996453061	0.1987691199	0.704567768	0.9988918022	0.9225539478	0.9989993591	0.9173529267	0.752224611	0.9978588799
98	0.8997	0.1985088648	0.7047341633	0.9989046691	0.9225539478	0.998995081	0.9173529267	0.7524258489	0.9978517677
99	0.8996906122	0.198116875	0.7051477279	0.9989404117	0.9225539478	0.9990293064	0.9173545364	0.752018646	0.9978489228
100	0.8996506122	0.197886199	0.7047385363	0.9989432708	0.9225524656	0.9990293064	0.9173531725	0.7520780476	0.9978346987
101	0.8999	0.1976093878	0.7087002051	0.9989304324	0.9225524656	0.9989438017	0.9173531725	0.7507541268	0.9978574575
102	0.9000693878	0.1973181633	0.7098832148	0.9989332914	0.9225537347	0.9989922808	0.9173531725	0.7508740828	0.9978503453
103	0.9000628571	0.1972280102	0.7099707878	0.9989447033	0.9225423125	0.9989822994	0.9173531725	0.7507775222	0.9978503453
104	0.9001828571	0.1969490561	0.7101685295	0.999010352	0.9225423125	0.9990450429	0.9173531725	0.7512703323	0.9978531901
105	0.9003873469	0.1965411224	0.7109797718	0.9990046455	0.9225529011	0.9990450429	0.9173531725	0.7519005702	0.9978546126
106	0.9005363265	0.1962379464	0.711176731	0.9989946591	0.922681405	0.9990921056	0.9173531725	0.7524263776	0.9979698442
107	0.9005371429	0.1958939541	0.711209251	0.9990089254	0.922681405	0.9990778411	0.9173531725	0.7523927183	0.997994032
108	0.9005334694	0.1957072449	0.7113284065	0.9990288961	0.922681405	0.9990849668	0.9173531725	0.7522731959	0.9979826494
109	0.9005314286	0.195589324	0.711388803	0.9989888748	0.922681405	0.9990849668	0.9173531725	0.7522486866	0.997994032
110	0.9006542857	0.1952938265	0.7122262379	0.9989731637	0.9226991873	0.9990849668	0.9173531725	0.7523441163	0.9980310274
111	0.9008077551	0.1950731633	0.7133104118	0.9989774438	0.9226873395	0.9991234757	0.9173531725	0.7524519514	0.9980281815
112	0.9009028571	0.1949725383	0.7137098204	0.9989802972	0.9226873395	0.9991234757	0.9173531725	0.7527307169	0.9980281815
113	0.9009534694	0.194807551	0.714194849	0.9989831709	0.9226725209	0.9991234757	0.9173531725	0.7526893206	0.9980210668
114	0.9010987755	0.1943396811	0.7149294406	0.9989731637	0.9227040515	0.9992746546	0.9173531725	0.7527649834	0.9982615987
115	0.9010942857	0.1940912755	0.7151894163	0.9989874567	0.9227040515	0.9993017607	0.9173531725	0.752540206	0.9982117749
116	0.901197551	0.1938409439	0.7153036569	0.9989717312	0.9226964363	0.9993260436	0.9173559003	0.7530634741	0.9982388215
117	0.9012677551	0.1935679719	0.7156829887	0.9989745904	0.9226964363	0.9993402884	0.9173559003	0.7532037402	0.9982359744
118	0.9015342857	0.1934773469	0.7181741294	0.9989874567	0.9226951672	0.9992561447	0.9173559003	0.7529737526	0.9982359744
119	0.9016379592	0.1931963776	0.7186205273	0.9990603168	0.9227180128	0.9993774079	0.9173559003	0.7529824872	0.9984224925
120	0.9016697959	0.1929900765	0.7187593601	0.9990531831	0.9227180128	0.9993702744	0.9173559003	0.753082091	0.9984210684
121	0.9016604082	0.1927817347	0.7188915176	0.999063189	0.9227192821	0.9993873993	0.9173559003	0.7528906726	0.9984281888
122	0.9017697959	0.1926328699	0.7197829598	0.9990660425	0.9227192821	0.9993018006	0.9173559003	0.752931232	0.9984167962
123	0.9018289796	0.1925374107	0.7200736704	0.9990660425	0.9227192821	0.9993018006	0.9173559003	0.7530722256	0.9984167962
124	0.9018461224	0.1924232781	0.7201249039	0.9990660425	0.9227192821	0.9993032274	0.9173559003	0.7531367122	0.9984182203
125	0.9018502041	0.1922257908	0.7200145209	0.9990703307	0.9227180128	0.9993203495	0.9173559003	0.7532324918	0.9984196443
126	0.9018497959	0.191976824	0.7200474641	0.9990531831	0.9227256283	0.9993217764	0.9173559003	0.7532215498	0.998409676
127	0.9018853061	0.1917289541	0.7203674887	0.9990646158	0.9227258409	0.9993217764	0.9173559003	0.753174802	0.9984182203
128	0.9018983673	0.1916481633	0.7203293059	0.9990646158	0.9227258409	0.9993217764	0.9173559003	0.7532856739	0.9984182203
129	0.9019134694	0.1914751403	0.7203220543	0.999068904	0.9227258409	0.9993246302	0.9173559003	0.7533725485	0.9984267647
130	0.9019420408	0.1912699745	0.7204941493	0.9990660478	0.9227296487	0.9994244921	0.9173559003	0.7533122213	0.9985022466
131	0.9020159184	0.1910572959	0.7209706059	0.999068904	0.9227309179	0.9994259193	0.9173559003	0.7533888703	0.9985122168
132	0.902084898	0.1909373214	0.7221093857	0.999070336	0.9227410722	0.9994316462	0.9173559003	0.7529074442	0.9985050952
133	0.9021779592	0.1907116327	0.7223873799	0.9990731842	0.9227423415	0.999441632	0.9173559003	0.7532420866	0.9985350065
134	0.9021677551	0.1905910587	0.7224779379	0.9990731842	0.9227423415	0.999441632	0.9173559003	0.753106591	0.9985350065
135	0.9022044898	0.1904353061	0.7227689134	0.9990731842	0.9227535586	0.999441632	0.9173559003	0.753089942	0.9985421285
136	0.9022604082	0.1901433418	0.7217684216	0.9991603718	0.9227649825	0.9994074061	0.9173613558	0.7541348095	0.9985407041
137	0.902262449	0.1901358163	0.7217739172	0.9991603718	0.9227649825	0.9994074061	0.9173613558	0.7541432034	0.9985407041
138	0.9023591837	0.1899271046	0.7231548944	0.9992046323	0.9227649825	0.9994416336	0.9173613558	0.75360379	0.9985492506
139	0.9023571429	0.1897025765	0.7234268898	0.9992017786	0.9227649825	0.9994402047	0.9173613558	0.7533919567	0.9985307333
140	0.9023461224	0.1896015689	0.723445904	0.9992032077	0.9227649825	0.9994402047	0.9173559003	0.7533059921	0.9985364309
141	0.9023122449	0.1892637117	0.7230013196	0.9992403039	0.9227664644	0.999441632	0.9173572641	0.7534213049	0.9985335821
142	0.9024204082	0.1890755102	0.7238526483	0.9992517493	0.9227664644	0.9993774364	0.9173637026	0.7534271248	0.9985392797
143	0.9025257143	0.1889720663	0.7229204962	0.9992502988	0.9227702724	0.9993788651	0.9173637026	0.7548198148	0.9985492506
144	0.9027053061	0.1886757908	0.7239586499	0.9992688973	0.922765195	0.9993902813	0.9173627197	0.7550744578	0.9985834381
145	0.9029914286	0.188573176	0.7260352566	0.9992674704	0.922751215	0.9993888543	0.9173607043	0.7552335773	0.9985834381
146	0.9030595918	0.1885203444	0.7260280407	0.9992674704	0.9227588313	0.9993888543	0.9173607043	0.7556616083	0.9985834381
147	0.9030767347	0.1884056122	0.7261265574	0.9992731842	0.9227588313	0.9993902813	0.9173607043	0.7556840025	0.9985834381
148	0.9031359184	0.1882309311	0.7264204666	0.9992689036	0.9227601007	0.9994231044	0.9173607043	0.7558070417	0.998574891
149	0.903164898	0.1881461735	0.7265692787	0.9992689036	0.9227601007	0.9994231044	0.9173607043	0.7558664211	0.998580589
150	0.9031763265	0.1880834694	0.7266210906	0.999276038	0.9227740805	0.9994231044	0.9173723774	0.7558678261	0.998580589
151	0.9032542857	0.187848852	0.7269088404	0.9992788959	0.922809624	0.9994273924	0.9173723774	0.7560902932	0.9985862871
152	0.9032791837	0.1875535969	0.7270812624	0.9993317608	0.9228261273	0.9994587624	0.9173723774	0.7560212801	0.9986005327
153	0.9033028571	0.1874885842	0.727105426	0.9993317646	0.9228235883	0.9994587624	0.9173723774	0.7561588234	0.9985891362
154	0.9033244898	0.1874118367	0.7273148078	0.9993289108	0.9228235883	0.9994587624	0.9173723774	0.7561292631	0.9985891362
155	0.9033318367	0.1873275	0.7273420364	0.9993303377	0.9228235883	0.9994587624	0.9173723774	0.7561536595	0.9985877117
156	0.9033289796	0.1871869005	0.7271263028	0.9993274801	0.9228312054	0.9994573351	0.9173723774	0.756299243	0.9985991081
157	0.9034632653	0.1870109056	0.7275876164	0.999326057	0.9228312054	0.999465902	0.9173723774	0.7567579281	0.998613354
158	0.9032877551	0.1868629847	0.7266881321	0.9993488877	0.9228312054	0.999465902	0.9173755966	0.7563662741	0.9985976835
159	0.9034269388	0.1865677551	0.7270075472	0.9993945521	0.9228299359	0.9994373567	0.917373987	0.7569673157	0.998613354
160	0.9034097959	0.1864367602	0.7270412455	0.9993745734	0.9228299359	0.9994373567	0.9173767148	0.7568366153	0.9986233264
161	0.9032938776	0.1863500765	0.7265060679	0.9993745734	0.9228299359	0.9994373567	0.9173767148	0.7565347345	0.9986247511
162	0.9033040816	0.1862295408	0.7271277553	0.9993645844	0.92283163	0.9994387839	0.9173767148	0.7561099879	0.9986204771
163	0.9032938776	0.1861119005	0.7270628286	0.9993645844	0.92283163	0.9994387839	0.9173928105	0.756071551	0.9986361483
164	0.9034187755	0.1860320791	0.7271972599	0.9993617304	0.92283163	0.9994387839	0.9173928105	0.7567465136	0.9986418471
165	0.9035318367	0.1859036352	0.7272335603	0.9993560225	0.9228227299	0.9994373551	0.9173903025	0.7574411481	0.9986446965
166	0.9035326531	0.1858409821	0.7271786515	0.9993560225	0.9228227299	0.9994373551	0.9173903025	0.7574897483	0.9986446965
167	0.9036118367	0.1857889031	0.7273546998	0.999356028	0.9228239994	0.9994259619	0.9173903025	0.7578409476	0.9986446965
168	0.9036306122	0.1856878571	0.7276263116	0.9993531741	0.9228265386	0.9994259619	0.9173742074	0.7577715496	0.9986276004
169	0.9036436735	0.1855454337	0.7277089868	0.9993517471	0.9228265386	0.9994245348	0.9173742074	0.7577844004	0.9986361483
170	0.9036563265	0.1854640689	0.7278809936	0.9993503202	0.9229265983	0.9994387999	0.917557717	0.7574491582	0.9986646427
171	0.9038946939	0.1853772704	0.7297666092	0.9993531778	0.922923813	0.9994387999	0.9175916832	0.7574054812	0.998668917
172	0.9038979592	0.1852685969	0.7297805605	0.9993503202	0.922923813	0.9994231077	0.9175916832	0.7574168755	0.9986831649
173	0.9039106122	0.1851921811	0.7298303657	0.9993603125	0.922923813	0.9994231077	0.9175916832	0.7574491316	0.9986831649
174	0.903977551	0.1850273214	0.7300249697	0.9993588819	0.9229250835	0.9994259619	0.9175723844	0.7577346952	0.9986817401
175	0.9039934694	0.1849199872	0.7300143906	0.999357455	0.9229263539	0.9994245348	0.9175723844	0.7578398395	0.9986888642
176	0.9039881633	0.1848115051	0.7299733915	0.9993603125	0.9229263539	0.9994245348	0.9175723844	0.7578363279	0.9986888642
177	0.9039861224	0.1847595791	0.7302131409	0.9993603125	0.9229250835	0.9994245348	0.9175723844	0.7576319078	0.9986874394
178	0.9042302041	0.1846647704	0.7320964716	0.9993617395	0.9229250835	0.999423106	0.9175756009	0.7576394454	0.9986917139
179	0.9042138776	0.1846375765	0.7321852999	0.9993617395	0.9229250835	0.999423106	0.9175756009	0.7574595166	0.9986959884
180	0.9042314286	0.1846239541	0.7322478917	0.9993617395	0.9229250835	0.999423106	0.9175756009	0.7575177409	0.9986988381
181	0.9043583673	0.1845503571	0.7334620761	0.9993617395	0.9229250835	0.999423106	0.9175756009	0.7573127717	0.9987159367
182	0.9044134694	0.1842974107	0.7334233871	0.9994159671	0.9229263539	0.999423106	0.9175756009	0.757659094	0.9987187865
183	0.9044179592	0.1842242347	0.7333075338	0.9994159671	0.9229263539	0.999423106	0.9175756009	0.7577795135	0.9987244862
184	0.9044293878	0.1842129209	0.7333663307	0.9994159671	0.9229263539	0.999423106	0.9175756009	0.7578038582	0.9987244862
185	0.904404898	0.1841530612	0.7328574304	0.9994173942	0.9229263539	0.999423106	0.9175756009	0.7580613929	0.9987316109
186	0.9045510204	0.1840779719	0.734156243	0.9994045503	0.9229263539	0.999423106	0.9175723844	0.7579351191	0.998727336
187	0.9046057143	0.183923023	0.7346149645	0.9994059774	0.9229263539	0.9994259636	0.9176013324	0.7578518662	0.9987529856
188	0.9046044898	0.1838919005	0.7345453675	0.99941454	0.9229263539	0.9994259636	0.9176013324	0.7578927781	0.9987586856
189	0.9046632653	0.1838778954	0.7348220151	0.99941454	0.9229263539	0.9994259636	0.9176013324	0.7580388228	0.9987586856
190	0.9046506122	0.183870676	0.7345934024	0.99941454	0.9229263539	0.9994259636	0.9176013324	0.7581436889	0.9987658108
191	0.9046546939	0.1838537755	0.7346060552	0.99941454	0.922932706	0.9994259636	0.9176013324	0.758151609	0.998770086
192	0.9046889796	0.1838425765	0.734897014	0.99941454	0.922932706	0.9994259636	0.9176013324	0.7581242456	0.9987772113
193	0.9046881633	0.1838377041	0.7348535528	0.99941454	0.922932706	0.9994259636	0.9176013324	0.7581552675	0.9987772113
194	0.9047277551	0.1838172832	0.7357993966	0.99941454	0.922932706	0.9994259636	0.9176013324	0.757614302	0.9987800615
195	0.9047171429	0.1838133163	0.7357629688	0.99941454	0.922932706	0.9994259636	0.9176013324	0.7575766308	0.9987800615
196	0.9047085714	0.1837678061	0.7356880979	0.9994302385	0.9229924506	0.9994273907	0.9176013324	0.7574655082	0.9987800615
